iter	Logloss
0	0.6478839721
1	0.6128126326
2	0.5834753456
3	0.5546336515
4	0.5297478117
5	0.5080043057
6	0.4888822686
7	0.4745033063
8	0.4598950711
9	0.4487653365
10	0.4386907955
11	0.4304678516
12	0.4238093469
13	0.4174332409
14	0.4100192415
15	0.4046231068
16	0.3991173024
17	0.3933181839
18	0.3901274767
19	0.3871517343
20	0.3824406382
21	0.3791404251
22	0.3751228793
23	0.3709633111
24	0.3678611545
25	0.3656789298
26	0.3627559754
27	0.3596964298
28	0.3581133256
29	0.3557143342
30	0.3539027936
31	0.3514245723
32	0.3499052506
33	0.3481350185
34	0.3458898767
35	0.3438298739
36	0.342048268
37	0.340879116
38	0.33871432
39	0.3376526824
40	0.3363980491
41	0.3349884925
42	0.333800021
43	0.3329394377
44	0.3312083099
45	0.3300233291
46	0.3288958831
47	0.3282824877
48	0.327180812
49	0.3265794529
50	0.3257496638
51	0.3249741885
52	0.3238755151
53	0.3232066054
54	0.3224343625
55	0.3211281984
56	0.3206406654
57	0.3195226776
58	0.3185153615
59	0.3179637714
60	0.3172691644
61	0.3164480592
62	0.3160969403
63	0.3156589896
64	0.3150023664
65	0.3144338596
66	0.3139608806
67	0.3132590863
68	0.3127783391
69	0.3121240814
70	0.311604218
71	0.3111377766
72	0.3106058884
73	0.3101483974
74	0.3094781236
75	0.308830771
76	0.3079649272
77	0.3073294115
78	0.3068154066
79	0.3061801789
80	0.3056651902
81	0.3053697851
82	0.3046311957
83	0.3040108246
84	0.3035646052
85	0.3029960884
86	0.3022454169
87	0.3016496657
88	0.3013104423
89	0.3007734913
90	0.3001461274
91	0.2993812209
92	0.2989995369
93	0.2986569738
94	0.2978928518
95	0.2971997858
96	0.2964398468
97	0.2956843449
98	0.2953677252
99	0.2950547597
100	0.2946356131
101	0.2941377634
102	0.2935747866
103	0.2932296499
104	0.2927622122
105	0.2923675808
106	0.2921120668
107	0.2917121579
108	0.2914373783
109	0.2910968361
110	0.2906721917
111	0.2901653079
112	0.2897129003
113	0.2892676042
114	0.2888446083
115	0.2885659033
116	0.2880559296
117	0.2876702662
118	0.2872533612
119	0.2869140288
120	0.2865249745
121	0.2859524939
122	0.2856065153
123	0.2852119088
124	0.2846724303
125	0.2842614716
126	0.2840456218
127	0.2838315642
128	0.2835950558
129	0.2832097603
130	0.2828866666
131	0.2825923374
132	0.2821189148
133	0.2819450062
134	0.2817754142
135	0.2813467068
136	0.2808834292
137	0.2804770759
138	0.2802448168
139	0.2798001274
140	0.279385397
141	0.2789560782
142	0.2782979575
143	0.2780058277
144	0.2774786724
145	0.2770833849
146	0.2766862987
147	0.276328384
148	0.2757905994
149	0.2753846344
150	0.2750297961
151	0.2747270118
152	0.2743372763
153	0.2738824428
154	0.2735772477
155	0.2731960407
156	0.2728303025
157	0.2724495644
158	0.272037205
159	0.2718300007
160	0.2714844355
161	0.2712138531
162	0.270872145
163	0.2705557235
164	0.270035453
165	0.2698206577
166	0.2694473546
167	0.2691985004
168	0.2688577175
169	0.2684036836
170	0.2680467657
171	0.2676960953
172	0.2673228809
173	0.2669067099
174	0.2665647555
175	0.2663058963
176	0.265933284
177	0.2656514097
178	0.2653876501
179	0.2652286966
180	0.2649052273
181	0.2646000681
182	0.2641700275
183	0.263814788
184	0.2633507434
185	0.2631275588
186	0.2628053138
187	0.2624355881
188	0.2621695962
189	0.2617958922
190	0.2614195618
191	0.2610170158
192	0.2607002577
193	0.2602454183
194	0.2598360682
195	0.2596844963
196	0.259357209
197	0.259053095
198	0.2586426061
199	0.25819114
